iteration,strategy,rl_model,data_group,portfolio_values
0,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100063.719080
2022-01-05     99164.271595
2022-01-06     99326.652746
2022-01-07     99483.666724
                  ...      
2023-12-22     84711.572640
2023-12-26     85238.201433
2023-12-27     85308.294340
2023-12-28     85392.302527
2023-12-29     85257.206292
Length: 501, dtype: float64"
0,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99240.224082
2022-01-05     98050.599640
2022-01-06     97640.832943
2022-01-07     97660.225868
                  ...      
2023-12-22     76477.960328
2023-12-26     76617.860459
2023-12-27     76649.457003
2023-12-28     76732.702084
2023-12-29     76682.606841
Length: 501, dtype: float64"
0,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100442.940622
2022-01-05     98814.187919
2022-01-06     98749.338524
2022-01-07     98650.801667
                  ...      
2023-12-22     80758.564630
2023-12-26     81036.502930
2023-12-27     81075.056933
2023-12-28     81212.404391
2023-12-29     81104.641643
Length: 501, dtype: float64"
0,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99580.877676
2022-01-05     98805.452868
2022-01-06     98154.107373
2022-01-07     98070.693355
                  ...      
2023-12-22     79058.454038
2023-12-26     79204.245851
2023-12-27     79161.618155
2023-12-28     79188.801124
2023-12-29     79185.385032
Length: 501, dtype: float64"
0,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100191.117097
2022-01-05     99413.241556
2022-01-06     99585.554354
2022-01-07     99483.237000
                  ...      
2023-12-22    102716.438702
2023-12-26    103405.009370
2023-12-27    103522.865473
2023-12-28    103619.271356
2023-12-29    103510.309049
Length: 501, dtype: float64"
0,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99342.996963
2022-01-05     98325.072743
2022-01-06     97902.217728
2022-01-07     97746.080721
                  ...      
2023-12-22     98502.089915
2023-12-26     98764.035368
2023-12-27     98854.059540
2023-12-28     98871.779981
2023-12-29     98886.279459
Length: 501, dtype: float64"
0,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99938.826624
2022-01-05     99285.550456
2022-01-06     99484.991365
2022-01-07     99383.067458
                  ...      
2023-12-22     85633.786086
2023-12-26     86341.289653
2023-12-27     86394.330424
2023-12-28     86533.629042
2023-12-29     86396.079429
Length: 501, dtype: float64"
0,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99608.553873
2022-01-05     98636.085078
2022-01-06     98202.736580
2022-01-07     98224.825137
                  ...      
2023-12-22     76494.718558
2023-12-26     76644.183053
2023-12-27     76647.576545
2023-12-28     76692.882499
2023-12-29     76644.213699
Length: 501, dtype: float64"
0,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99997.242108
2022-01-05     99099.760655
2022-01-06     99062.271033
2022-01-07     98853.680168
                  ...      
2023-12-22     89484.700584
2023-12-26     89812.517076
2023-12-27     89849.952092
2023-12-28     89955.150142
2023-12-29     89764.597256
Length: 501, dtype: float64"
0,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99390.362498
2022-01-05     98887.003446
2022-01-06     98498.659089
2022-01-07     98605.760578
                  ...      
2023-12-22     89124.816596
2023-12-26     89293.442918
2023-12-27     89321.712317
2023-12-28     89423.908304
2023-12-29     89431.949621
Length: 501, dtype: float64"
