iteration,strategy,rl_model,data_group,portfolio_values
54,baseline,PPO,Group1,"2020-01-02    100000.000000
2020-01-03     99176.800020
2020-01-06     99666.744855
2020-01-07     98914.343529
2020-01-08     99389.504504
                  ...      
2021-12-27    112156.575042
2021-12-28    111912.464962
2021-12-29    111895.424773
2021-12-30    111763.482004
2021-12-31    111435.147027
Length: 505, dtype: float64"
54,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99445.673520
2022-01-05     99019.851119
2022-01-06     98706.517163
2022-01-07     98643.228050
                  ...      
2023-12-22     76285.368844
2023-12-26     76565.655872
2023-12-27     76598.876167
2023-12-28     76665.009065
2023-12-29     76536.863329
Length: 501, dtype: float64"
54,baseline,A2C,Group1,"2020-01-02    100000.000000
2020-01-03     99124.990066
2020-01-06     99691.209665
2020-01-07     98833.794760
2020-01-08     99061.483819
                  ...      
2021-12-27    116341.822403
2021-12-28    116105.980570
2021-12-29    116119.559591
2021-12-30    115898.209605
2021-12-31    115480.655617
Length: 505, dtype: float64"
54,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99264.245131
2022-01-05     98274.576940
2022-01-06     98033.737989
2022-01-07     98275.141457
                  ...      
2023-12-22     80703.817559
2023-12-26     81015.368941
2023-12-27     81114.108085
2023-12-28     81209.322784
2023-12-29     81075.528001
Length: 501, dtype: float64"
54,baseline,DDPG,Group1,"2020-01-02    100000.000000
2020-01-03     99057.141835
2020-01-06     99717.111780
2020-01-07     98831.200587
2020-01-08     99538.158027
                  ...      
2021-12-27    147104.831583
2021-12-28    146882.422464
2021-12-29    146979.892712
2021-12-30    146758.397465
2021-12-31    146264.116322
Length: 505, dtype: float64"
54,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99352.210233
2022-01-05     98447.888261
2022-01-06     97877.642321
2022-01-07     97768.401320
                  ...      
2023-12-22    100156.189999
2023-12-26    100935.932075
2023-12-27    101098.716345
2023-12-28    101179.400949
2023-12-29    101040.583922
Length: 501, dtype: float64"
54,naive,PPO,Group1,"2020-01-02    100000.000000
2020-01-03     99116.802154
2020-01-06     99771.999872
2020-01-07     98958.027844
2020-01-08     99435.285303
                  ...      
2021-12-27    125635.377517
2021-12-28    125377.924972
2021-12-29    125310.097196
2021-12-30    125119.549815
2021-12-31    124592.076675
Length: 505, dtype: float64"
54,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99554.827884
2022-01-05     98983.888467
2022-01-06     98735.496903
2022-01-07     98933.375567
                  ...      
2023-12-22     75327.010871
2023-12-26     75687.521699
2023-12-27     75757.603040
2023-12-28     75930.335199
2023-12-29     75781.710109
Length: 501, dtype: float64"
54,naive,A2C,Group1,"2020-01-02    100000.000000
2020-01-03     99118.967151
2020-01-06     99675.500800
2020-01-07     98922.325711
2020-01-08     99332.777345
                  ...      
2021-12-27    110949.350862
2021-12-28    110774.466267
2021-12-29    110749.841009
2021-12-30    110655.851327
2021-12-31    110338.429776
Length: 505, dtype: float64"
54,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99247.520732
2022-01-05     98840.499776
2022-01-06     98487.978942
2022-01-07     98487.588135
                  ...      
2023-12-22     79972.737824
2023-12-26     80460.409970
2023-12-27     80564.331408
2023-12-28     80705.725729
2023-12-29     80629.047405
Length: 501, dtype: float64"
