iteration,strategy,rl_model,data_group,portfolio_values
129,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100030.449167
2022-01-05    100390.966883
2022-01-06     99985.885343
2022-01-07    100235.671526
                  ...      
2023-12-22     75720.377229
2023-12-26     76060.458758
2023-12-27     76225.354827
2023-12-28     76279.992787
2023-12-29     76202.561056
Length: 501, dtype: float64"
129,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99784.347866
2022-01-05     97453.006581
2022-01-06     97605.828939
2022-01-07     97447.707945
                  ...      
2023-12-22     89287.377052
2023-12-26     89438.364279
2023-12-27     89318.048553
2023-12-28     89333.568577
2023-12-29     89287.083704
Length: 501, dtype: float64"
129,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99247.237506
2022-01-05     99483.090539
2022-01-06     98976.172484
2022-01-07     99006.983043
                  ...      
2023-12-22     77929.032595
2023-12-26     78214.030305
2023-12-27     78427.205683
2023-12-28     78521.229093
2023-12-29     78400.834521
Length: 501, dtype: float64"
129,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99812.055748
2022-01-05     97865.809588
2022-01-06     98013.404001
2022-01-07     97755.417799
                  ...      
2023-12-22     87576.125471
2023-12-26     87672.076419
2023-12-27     87532.256017
2023-12-28     87537.262340
2023-12-29     87483.818745
Length: 501, dtype: float64"
129,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100036.007679
2022-01-05    100687.008379
2022-01-06    100117.810304
2022-01-07    100530.363922
                  ...      
2023-12-22     97067.252788
2023-12-26     97398.329142
2023-12-27     97638.167096
2023-12-28     97908.033948
2023-12-29     97954.047078
Length: 501, dtype: float64"
129,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99788.863585
2022-01-05     98052.783256
2022-01-06     98103.238578
2022-01-07     97719.278672
                  ...      
2023-12-22    100865.651199
2023-12-26    101068.248235
2023-12-27    100949.005411
2023-12-28    100968.938982
2023-12-29    100982.083946
Length: 501, dtype: float64"
129,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100037.043258
2022-01-05    100276.731951
2022-01-06     99912.839478
2022-01-07    100056.849287
                  ...      
2023-12-22     78021.868124
2023-12-26     78347.138092
2023-12-27     78471.134863
2023-12-28     78532.734539
2023-12-29     78409.472617
Length: 501, dtype: float64"
129,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99649.980128
2022-01-05     97620.515769
2022-01-06     97691.435077
2022-01-07     97034.123980
                  ...      
2023-12-22     80333.555632
2023-12-26     80447.737202
2023-12-27     80361.746346
2023-12-28     80266.015567
2023-12-29     80201.891031
Length: 501, dtype: float64"
129,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99817.621607
2022-01-05     99763.641798
2022-01-06     99098.815938
2022-01-07     99093.026753
                  ...      
2023-12-22     81030.785029
2023-12-26     81458.873453
2023-12-27     81649.075686
2023-12-28     81751.297026
2023-12-29     81647.268779
Length: 501, dtype: float64"
129,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100004.764693
2022-01-05     98316.564037
2022-01-06     98417.420550
2022-01-07     98178.510936
                  ...      
2023-12-22     90722.422759
2023-12-26     90848.351827
2023-12-27     90793.071821
2023-12-28     90745.340883
2023-12-29     90641.255937
Length: 501, dtype: float64"
129,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100036.007679
2022-01-05    100687.008379
2022-01-06    100117.810304
2022-01-07    100530.363922
                  ...      
2023-12-22     97067.252788
2023-12-26     97398.329142
2023-12-27     97638.167096
2023-12-28     97908.033948
2023-12-29     97954.047078
Length: 501, dtype: float64"
129,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99788.863585
2022-01-05     98052.783256
2022-01-06     98103.238578
2022-01-07     97719.278672
                  ...      
2023-12-22    100865.651199
2023-12-26    101068.248235
2023-12-27    100949.005411
2023-12-28    100968.938982
2023-12-29    100982.083946
Length: 501, dtype: float64"
