iteration,strategy,rl_model,data_group,portfolio_values
100,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100693.547131
2022-01-05    100037.210096
2022-01-06    100238.672901
2022-01-07    100565.548321
                  ...      
2023-12-22     83257.342955
2023-12-26     83642.682193
2023-12-27     83735.283156
2023-12-28     83728.078052
2023-12-29     83641.582565
Length: 501, dtype: float64"
100,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     98710.266518
2022-01-05     97709.993364
2022-01-06     96900.735101
2022-01-07     96419.204086
                  ...      
2023-12-22     80604.177812
2023-12-26     80694.407903
2023-12-27     80821.578317
2023-12-28     80929.219964
2023-12-29     80872.742929
Length: 501, dtype: float64"
100,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    101029.014817
2022-01-05    100720.803519
2022-01-06    100980.426245
2022-01-07    101292.440928
                  ...      
2023-12-22     84268.164688
2023-12-26     84802.274973
2023-12-27     84843.115065
2023-12-28     84901.972897
2023-12-29     84798.551712
Length: 501, dtype: float64"
100,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     98720.642103
2022-01-05     97168.615339
2022-01-06     96651.526850
2022-01-07     96274.323642
                  ...      
2023-12-22     77392.718782
2023-12-26     77521.489596
2023-12-27     77546.480348
2023-12-28     77666.912724
2023-12-29     77521.300573
Length: 501, dtype: float64"
100,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100896.025373
2022-01-05    100834.493740
2022-01-06    101134.838789
2022-01-07    101569.117345
                  ...      
2023-12-22     99244.792197
2023-12-26    100007.364259
2023-12-27    100060.662985
2023-12-28    100067.362057
2023-12-29     99996.419797
Length: 501, dtype: float64"
100,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     98773.441514
2022-01-05     97484.168457
2022-01-06     96917.853788
2022-01-07     96278.653588
                  ...      
2023-12-22    103772.189332
2023-12-26    103855.229977
2023-12-27    103943.985623
2023-12-28    104041.659939
2023-12-29    103936.904544
Length: 501, dtype: float64"
100,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100768.237539
2022-01-05    100286.666061
2022-01-06    100430.433846
2022-01-07    100716.960545
                  ...      
2023-12-22     78290.107981
2023-12-26     78712.720509
2023-12-27     78734.031747
2023-12-28     78752.749963
2023-12-29     78677.875296
Length: 501, dtype: float64"
100,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     98921.149399
2022-01-05     97006.121239
2022-01-06     96521.489093
2022-01-07     96336.737340
                  ...      
2023-12-22     84699.888319
2023-12-26     84765.026755
2023-12-27     84800.464959
2023-12-28     84869.849358
2023-12-29     84843.918452
Length: 501, dtype: float64"
100,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100622.272719
2022-01-05    100459.347041
2022-01-06    100629.196430
2022-01-07    100871.064880
                  ...      
2023-12-22     85883.519134
2023-12-26     86395.988687
2023-12-27     86352.171795
2023-12-28     86310.206150
2023-12-29     86222.497309
Length: 501, dtype: float64"
100,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     98867.046423
2022-01-05     97722.295541
2022-01-06     96887.855688
2022-01-07     96374.661168
                  ...      
2023-12-22     88513.169021
2023-12-26     88656.924098
2023-12-27     88777.890237
2023-12-28     88867.562486
2023-12-29     88761.796967
Length: 501, dtype: float64"
